GeneID	1hr	3hr	6hr	12hr	24hr
1429002_at	0	0.1	0.5	0.9	1.6
1429003_at	-0.2	0	0.4	0.7	1.2
1429009_at	0.1	-0.3	-0.3	-1	-1.1
1429012_at	-0.1	-0.2	-0.7	-1.9	-1
1429057_at	0.1	-0.2	-0.6	-1.1	-0.5
1429062_at	-0.3	-0.1	-0.7	-1.1	-1.1
1429063_s_at	-0.2	0.1	-0.6	-0.9	-1.3
1429082_at	0	0.3	1.2	0.9	1.1
1429122_a_at	-0.2	-0.5	-1.8	-1.8	-0.8
1429126_at	-0.1	-0.2	-0.5	-1	-1.6
1429169_at	0.3	-0.3	-0.9	-1.3	-1.6
1429184_at	0	2.3	2.9	3.2	3.2
1429193_at	-0.2	0.2	0.8	1.4	0.6
1429233_at	-0.2	-0.1	-0.1	-0.9	-1.3
1429234_s_at	-0.1	-0.1	-0.4	-1.2	-2
1429264_at	-0.2	-0.6	-0.6	-1	-1.1
1429267_at	-0.1	-0.2	-0.9	-1.2	-0.9
1429295_s_at	0.3	1.3	1.3	1.2	-1
1429297_at	-0.1	-0.2	-0.4	-1.8	-2.5
1429329_at	-0.2	-0.4	-0.8	-1.6	-0.7
1429387_at	0.6	1.2	1.5	2.9	2.4
1429400_at	-0.2	0.3	0.2	-0.6	-1
1429411_a_at	0	-0.2	-0.5	-1.2	-1
1429427_s_at	-0.4	-1.7	-1.3	-2.4	-2
1429434_at	-0.2	0	-0.7	-0.8	-2.2
1429435_x_at	-0.1	0.2	-1	-0.8	-1.2
1429456_a_at	-0.2	-0.3	-0.6	-1.2	-0.7
1429466_s_at	-0.1	-0.3	-0.7	0.2	1.9
1429508_at	0.2	0	-0.4	-1.1	-0.8
1429521_at	-0.1	-0.4	-1.1	-2.1	-0.9
1429532_at	0.3	-0.2	-0.7	-1.3	-0.9
1429564_at	0	1.1	2.4	2.6	2
1435926_at	0	-0.6	-1.3	-1.5	-1.7
1435927_at	0.2	1.5	2.4	2.8	1.6
1435939_s_at	0	-0.4	-2.1	-3.8	-3.1
1435953_at	-0.2	0	-0.6	-1.1	-1.2
1435959_at	0	0.2	-0.4	-0.9	-1.7
1436058_at	1.5	6.9	7.4	7.5	7.4
1436070_at	0.1	-0.3	-0.9	-1.5	-1.4
1436125_at	-0.1	0.1	-1.1	-1.6	-1.5
1436181_at	-0.2	-0.6	-1.4	-2.3	-1.5
1436194_at	-0.1	-0.2	-0.4	0.2	1.4
1436195_at	-0.1	0.6	0.2	1.1	1.3
1436247_at	0.1	-0.2	-0.7	-1.6	-1.3
1436291_a_at	0	0.1	0.6	1.2	1.2
1436297_a_at	0	-0.1	0.2	0.8	1.5
1436322_a_at	-0.2	-0.8	-1.3	-1.7	-0.2
1436323_at	-0.4	-0.7	-1	-1	-0.3
1436325_at	-0.3	-0.7	-0.4	0.3	1.1
1436336_at	0	-0.4	-1	-1.1	-0.5
1436362_x_at	0.4	-0.1	-0.6	-1.2	-1.1
1436387_at	0	0.3	1.2	1.1	-1.8
1436390_a_at	0	-0.2	-0.9	-1.5	-0.6
1436393_a_at	-0.2	-0.5	-0.9	-1.3	-0.8
1436405_at	-0.2	-0.1	-0.1	-0.5	-1.8
1436420_a_at	0	-0.1	-0.6	-1.6	-2
1436422_at	0	0	-0.3	-0.9	-1.1
1436443_a_at	-0.1	-0.3	-0.5	-1.4	-1.3
1436448_a_at	0.2	0	-0.4	-1.9	-1.2
1436462_at	0.1	-0.3	-0.9	-1.2	-1.2
1436482_a_at	-0.3	0.1	0.4	1.2	1.6
1436494_x_at	0.1	-0.2	-1	-1.9	-1.3
1436507_at	0.3	1	1.3	1.7	1.8
1436508_at	-0.1	-0.5	-0.8	-1.9	-1.9
1436543_at	0	-0.2	-0.6	-1.2	-0.4
1436550_at	0.1	-0.2	-0.5	-0.6	-1.1
1436555_at	0.1	0.5	0.8	1.2	0.3
1436562_at	0	2.5	4	4.1	3.8
1436595_at	0	-0.3	-0.7	-1.1	-1.2
1436602_x_at	0.4	-0.4	-0.4	0	-1.8
1436614_at	-0.1	-1	-1.9	-3.6	-2.6
1436625_at	-0.3	0	1.7	1.9	2.1
1436684_a_at	0.1	-0.2	-1.4	-1.6	-1.4
1436689_a_at	0	0	-0.4	-1.1	-0.4
1436705_at	-0.1	-0.1	-1	-2.2	-1.5
1436706_at	-0.3	-0.3	-1.1	-2.4	-2.1
1436707_x_at	0.1	-0.1	-0.7	-1.5	-1.8
1436708_x_at	-0.1	-0.1	-1.2	-1.8	-1.9
1436777_at	0.1	-0.7	-0.7	-4.7	-1.9
1436781_at	-0.2	-1.8	-1.6	-1.9	-0.4
1436808_x_at	-0.1	0	-0.6	-1.7	-2.6
1436816_at	-0.1	-0.2	-0.7	-0.5	-1.6
1443071_at	0.1	-0.3	-1.4	-1.9	-1.6
1443673_x_at	0	-1.1	-2	-2.5	-2.7
1443698_at	-0.1	3	4.1	4.9	5
1443750_s_at	-0.3	-0.4	-1.5	-3	-3.1
1443841_x_at	-0.6	0	-1.9	-2.1	-2
1443858_at	0.1	1.1	2.2	1.9	1.6
1443863_at	-0.2	-0.1	0.8	1.3	0.5
1443907_at	0.1	0.3	0.4	1	-0.2
1443948_at	0	0.2	0.9	1.6	1.4
1443969_at	-1.2	-3.1	-1.9	-3.6	-1.6
1444040_at	0	-0.2	-0.9	-1.5	-1.2
1444350_at	0	0.8	0.9	1.4	2.1
1444399_at	0.4	0.8	1.9	1.5	2
1444405_at	0.6	3.9	5.7	6.7	6.6
1444420_at	-0.7	-1.1	-0.8	-1.5	1.1
1444426_at	-0.2	-0.5	-0.2	-0.4	-2
1444524_at	0.2	0.3	0.9	1.8	1.6
1444531_at	0.6	0.7	0	-0.8	-4.8
1444537_at	-0.5	-0.6	-0.6	-0.6	-1
1444644_x_at	-0.1	-0.4	-0.8	-1	-0.5
1444735_at	-0.2	-0.6	-0.9	-1.7	-1.8
1444951_at	-0.2	0.1	1.1	1	0.2
1445271_at	0.4	1.3	2.7	2.3	2
1445381_at	0.3	0	-0.3	0.8	1.3
1445514_at	0.1	-0.3	-0.3	-0.9	-1.7
1445522_at	-0.5	-0.7	-0.7	-2	-2.9
1445626_at	0.2	-0.4	0	-0.2	-1
1445647_at	0.1	0.2	1	1.5	1.4
1445680_x_at	-0.4	0	-0.3	-1	-2.2
1445684_s_at	0	-0.1	-0.7	-1.5	-1.6
1445687_at	0.1	0.3	1.1	1.3	1.3
1445870_at	1.2	-0.6	-0.2	-0.3	-1.9
1445897_s_at	0.2	1.5	2.5	2.6	2.5
1446542_at	-0.1	-0.2	-0.4	-1.5	-2.8
1447100_s_at	0.1	1.4	2.1	2.4	0.8
1447109_at	0.2	-1	-1	-0.9	-1.1
1447272_s_at	-0.2	0.2	1.5	1.3	0.2
1447284_at	0	-0.1	-1.1	-1.5	-1.7
1447679_s_at	0	-0.2	-0.5	-1.2	-0.6
1447780_x_at	-0.2	-0.1	-0.9	-1.1	-0.7
1447851_x_at	-0.2	0.3	1.7	1.7	0.4
1447880_x_at	0	0.7	1.1	1.3	1.8
1447898_s_at	0.1	-0.3	-1.3	-2	-1.8
1447900_x_at	-0.2	-0.1	-0.6	-1	-0.6
1447903_x_at	-0.1	-0.1	-0.3	-0.6	-1.3
1447985_s_at	-0.5	0	0.3	1	0.4
1448009_at	-0.3	-0.1	-0.4	-0.5	-1.1
1448013_at	-0.2	-0.2	-0.6	-0.8	-1.2
1448014_s_at	0	-0.4	-0.4	-0.5	-1.3
1448016_at	0	0.3	1.7	2.4	2
1448575_at	0	0.1	0.6	1.2	1.5
1448576_at	0	0.1	0.7	1.3	1.7
1448577_x_at	0	0	0.3	0.9	1
1448583_at	0	0.7	1.8	1.9	1.6
1448585_at	0	-0.2	-0.6	-1.4	-0.7
1448604_at	-0.1	-0.7	-1.7	-2.9	-1.5
1448605_at	-0.1	0	0.5	1.6	1.8
1448627_s_at	-0.1	-0.2	-0.6	-2.1	-2.3
1448632_at	0	0.4	1.3	2.1	2
1448635_at	-0.1	0.1	-0.5	-1.7	-1.9
1448641_at	0.2	0.1	-0.2	-0.4	-1
1448646_at	-0.1	-0.7	-1.8	-2.9	-2.3
1448659_at	0	0.2	0.7	1.1	0.5
1448661_at	0.2	0.5	0.8	1	0.1
1448664_a_at	0	-0.2	-0.9	-1.3	-0.2
1448666_s_at	-0.2	-0.6	-1.1	-1.1	-1.4
1448667_x_at	-0.2	-0.4	-0.9	-1.2	-1.3
1448698_at	-0.2	-0.3	1.4	1.8	1
1448728_a_at	2.7	1.3	2.2	1.1	-0.8
1448740_at	0	-0.2	-1.2	-1.6	-1.9
1448751_at	0	0.5	0.9	1.4	1.3
1448775_at	0.7	3.9	4.9	5.1	5.2
1448777_at	-0.2	-0.5	-1.4	-2.2	-2
1448794_s_at	0	-0.3	-1.2	-1.6	-1.5
1448795_a_at	-0.1	-0.3	-0.8	-1.5	-1
1448802_at	-0.1	-0.5	-0.8	-0.2	1
1448809_at	-0.1	-0.1	-0.6	-1.4	-1.3
1448839_at	-0.3	-0.5	-1.2	-1.8	-1.6
1448843_at	0	-0.2	-0.5	-1	-1.6
1448865_at	0	0.3	-0.8	-0.9	-1.9
1448882_at	-0.1	-0.3	-1.2	-1.9	-1.1
1448938_at	0.1	-0.3	-0.5	-1.2	-1.2
1448939_at	-0.2	0.6	1.6	2.1	1.5
1448943_at	-0.1	0.1	0	-0.6	-1.8
1448958_at	-0.1	0.9	1.7	2.6	2.1
1448987_at	-0.1	0.1	0.5	1	0.9
1448991_a_at	-0.3	-1	-1.6	-3.4	-1.4
1449009_at	-2.6	5.6	7.4	8.2	8.3
1449044_at	0.1	-0.2	-1.1	-1.9	-1.8
1449049_at	0.1	0.6	1.1	2.5	1.4
1449061_a_at	-0.3	-0.4	-1.2	-2.9	-2.3
1449072_a_at	0	-0.3	-0.4	-0.6	-1.2
1449080_at	-0.1	-0.2	-0.8	-1.5	-1.2
1449095_at	-0.2	0.4	1.1	0.8	-0.6
1449107_at	-0.2	-0.2	-0.6	-1	-0.4
1449111_a_at	-0.1	-0.1	0.3	1	1
1449116_a_at	0.1	-0.1	-0.8	-1.6	-2
1449124_at	-0.3	-0.2	1	2.9	2.8
1449137_at	-0.1	-0.1	-0.5	-1.1	-0.9
1449139_at	-0.1	-0.2	-0.5	-0.8	-1.2
1458656_at	-0.1	0.5	1.2	1.1	1.3
1458679_a_at	0	-0.3	-0.7	-1.3	-0.6
1458703_at	0.2	-0.5	-0.8	-1.3	-1.5
1458718_at	0.3	0.8	0.5	-0.2	1.4
1458803_at	-0.1	1.6	2.1	1.8	1.4
1458969_at	0	-0.8	0	-0.7	-1.2
1459137_at	0.1	1.9	2.3	2	1
1459151_x_at	0	1.4	2.5	2.5	2.4
1459529_at	0	-0.7	-1.7	-1	-0.7
1459680_at	0	-1.4	-2.5	-2.2	-2.3
1459861_s_at	-0.2	-0.6	-1.2	-1.7	-1.5
1459875_x_at	-0.3	-0.1	-0.6	-1.6	-2.1
1459981_s_at	0.1	1.4	0.7	1.5	0.5
1460184_at	-0.2	-0.2	-0.3	-1	-0.5
1460188_at	-0.1	-0.1	1	1.6	1.2
1460194_at	-0.2	0	0.5	1.4	2
1460203_at	-0.3	-0.1	2.3	2.9	1.2
1460228_at	-0.2	-0.2	-1.1	-1.3	-1.2
1460268_at	-0.8	-0.1	0.9	2.7	2.8
1460307_at	0	0	1.2	2.2	1.9
1460316_at	-0.1	0.8	1.2	2.4	1
1460317_s_at	0.2	0.6	0.8	1.2	1
1460323_at	0	-0.3	-0.5	-1.2	-0.7
1460353_at	-0.1	-0.3	-1	-2.8	-1.6
1460359_at	0	-0.6	-0.6	-0.6	-1
1460367_at	0	0.1	0.5	1.3	0.8
1460373_a_at	0.1	-0.1	0.7	1.6	1.1
1460389_at	-0.1	-0.4	-0.6	-1	-0.3
1460439_at	0	0	0	0.8	1.5
1460445_at	-0.2	-0.2	-0.4	-1.2	-0.9
1460447_at	0	-0.6	-1.3	-1.5	-2.1
1460469_at	0	-0.1	-0.2	0	1.1
1460495_s_at	0.3	0.8	1.7	2.2	1.5
1460521_a_at	0.2	0.4	1.1	0.8	1.9
1460551_at	0	-0.1	-0.3	-0.9	-1.1
1460561_x_at	0	0.2	0.9	1.2	1.9
1460571_at	-0.2	0	-0.6	-1.1	-0.9
1460600_at	0	-0.2	-0.5	-1	-1.2
1460603_at	0.3	2.2	2.9	3.1	2.6
1460614_at	0	1.2	2	2.2	1.2
1460638_at	0	-0.3	-0.6	-1.4	-0.6
1460650_at	0.2	-0.3	-0.3	-0.9	-1.2
1460655_a_at	0.3	-0.3	-0.7	-1	-0.4
1460672_at	0.1	-1.4	-2.2	-2.7	-1.8
1460675_at	0	0.4	0.6	1.4	1.8
1460678_at	-0.3	-0.8	-1.4	-1.9	-0.5
1460694_s_at	0.1	-0.5	-1.1	-1.2	-1.2
1460716_a_at	0	0	-0.2	-1	-1.1
1460726_at	0	0.1	-0.4	-1	-0.6
1460735_at	-0.1	-0.7	-1.1	-1.2	-1.2
